SexAgeconst,HHoldOAClass2011_B03ID,HasBike_mean,tripsinweek_mean,sumunder1km_mean,sumunder2km_mean,sumunder3km_mean,sumunder4km_mean,sumunder5km_mean,sumunder6km_mean,sumunder7km_mean,sumunder8km_mean,sumunder9km_mean,sumunder10km_mean,sumunder11km_mean,sumunder12km_mean,sumunder13km_mean,sumunder14km_mean,sumunder15km_mean,sumunder16km_mean,sumunder17km_mean,sumunder18km_mean,sumunder19km_mean,sumunder20km_mean,sumunder21km_mean,sumunder22km_mean,sumunder23km_mean,sumunder24km_mean,sumunder25km_mean,sumunder26km_mean,sumunder27km_mean,sumunder28km_mean,sumunder29km_mean,sumunder30km_mean,sumunder31km_mean,sumunder32km_mean,sumunder33km_mean,sumunder34km_mean,sumunder35km_mean,sumweeklytripdist_mean
f5059,3,0.217391304,4.565217391,0.007865168539325843,0.025842696629213482,0.047752808988764044,0.05449438202247191,0.10786516853932585,0.12808988764044943,0.13202247191011235,0.1455056179775281,0.1455056179775281,0.16235955056179777,0.18089887640449437,0.18089887640449437,0.18820224719101122,0.18820224719101122,0.18820224719101122,0.22415730337078651,0.22415730337078651,0.22415730337078651,0.2455056179775281,0.2455056179775281,0.26910112359550564,0.26910112359550564,0.26910112359550564,0.26910112359550564,0.26910112359550564,0.298314606741573,0.298314606741573,0.298314606741573,0.298314606741573,0.298314606741573,0.298314606741573,0.3162921348314607,0.3162921348314607,0.3162921348314607,0.3162921348314607,77.39130435
f5059,4,0.202702703,4.959459459,0.003986332574031891,0.042710706150341685,0.08200455580865604,0.08997722095671981,0.16828018223234625,0.24686788154897493,0.2628132118451025,0.33342824601366744,0.3385535307517084,0.369874715261959,0.4043280182232346,0.41116173120728927,0.4148633257403189,0.4228359908883827,0.4271070615034169,0.47266514806378135,0.48234624145785876,0.49259681093394075,0.5466970387243736,0.5466970387243736,0.5765945330296127,0.589123006833713,0.589123006833713,0.589123006833713,0.589123006833713,0.6187357630979499,0.6264236902050114,0.6264236902050114,0.6429384965831435,0.6429384965831435,0.6429384965831435,0.6429384965831435,0.6429384965831435,0.6429384965831435,0.662870159453303,47.45945946
f5059,5,0.413043478,5.929347826,0.0045152722443559095,0.026693227091633465,0.05199203187250996,0.06314741035856573,0.11328021248339973,0.149933598937583,0.15737051792828685,0.20146082337317398,0.20683930942895087,0.23472775564409032,0.2639442231075697,0.27669322709163346,0.2965471447543161,0.31420982735723774,0.3152058432934927,0.33220451527224437,0.3333333333333333,0.3357237715803453,0.3596945551128818,0.3676626826029216,0.3788180610889774,0.3919654714475432,0.3934926958831341,0.42217795484727755,0.42217795484727755,0.4239043824701195,0.42749003984063744,0.42934926958831343,0.43897742363877823,0.44296148738379815,0.4450199203187251,0.45776892430278887,0.45776892430278887,0.45776892430278887,0.46938911022576363,81.84782609
f5059,6,0.454935622,6.56223176,0.0034853468165529427,0.024004712581611114,0.04918757056600069,0.06450346080212066,0.11064748907761032,0.1533552599283295,0.1650385351725492,0.1948848853762702,0.20372097589710864,0.23759265622698936,0.2689116881841834,0.2789259241078003,0.31147219085955524,0.3279662264984537,0.33312061263560944,0.37396298659859606,0.37813558490010307,0.3922733297334446,0.41745618771783416,0.4243287025673752,0.4325757203868244,0.4433753865789603,0.4433753865789603,0.47636345785675716,0.48127239703500074,0.4953119630847774,0.5059152717097836,0.515536792499141,0.5311963084777379,0.5459231260124687,0.5459231260124687,0.5569191497717343,0.5569191497717343,0.5585881890923371,0.5688969613666487,87.42918455
f5059,7,0.208333333,4.645833333,0.002638522427440633,0.02751601960045232,0.051262721447418017,0.06181681115718055,0.12401055408970976,0.16698077647945722,0.18017338861666038,0.21334338484734264,0.21334338484734264,0.25480588013569544,0.2755371277798718,0.28910667169242366,0.3136072370900867,0.38220882020354313,0.38220882020354313,0.38823972860912176,0.38823972860912176,0.42216358839050133,0.4508104033169996,0.4508104033169996,0.4508104033169996,0.4756879004900113,0.4756879004900113,0.4937806257067471,0.4937806257067471,0.5133810780248775,0.5133810780248775,0.5133810780248775,0.5352431209950999,0.5465510742555597,0.5465510742555597,0.558612891066717,0.558612891066717,0.6098756125141349,0.6362608367885413,55.27083333
f5059,8,0.305732484,5.038216561,0.002208236722976703,0.03599425858452026,0.07673622612344043,0.0829192889477752,0.12266754996135586,0.17566523131279674,0.18262117699017336,0.22943579551727944,0.2383791542453351,0.3013139008501711,0.3304626255934636,0.33311250966103567,0.36325494092966765,0.3972617864635089,0.40554267417467155,0.43027492547201057,0.43027492547201057,0.4441868168267638,0.473556365242354,0.473556365242354,0.4944242022744838,0.50899856464613,0.5140775091089764,0.5405763497846969,0.5433366456884178,0.5490780611681573,0.5520591807441758,0.5520591807441758,0.5776747267307055,0.5876117919841007,0.5876117919841007,0.6370762945787788,0.644363475764602,0.6518714806227227,0.6673291376835597,57.68789809
f6069,1,0.333333333,5.42962963,0.0013571590137977834,0.012968408354067706,0.026766191661011837,0.03219482771620297,0.04765136092889995,0.07750885923245118,0.081203347658900707,0.111362436854407,0.11543391389580035,0.14710095755108196,0.17447033099600393,0.18351805775465582,0.21096282892256654,0.23312975948126366,0.23426072532609515,0.2632134509537812,0.2632134509537812,0.2930709492573324,0.32028952725627685,0.32179748171605216,0.3423810600919852,0.37555605820704213,0.3790243534645254,0.391691170926638,0.3954610570760763,0.41310412425544746,0.4314257709417176,0.433536907185403,0.44884264495212245,0.45110457664178544,0.4534419060544372,0.4872200859534042,0.4897082108120335,0.49483525597526956,0.5053909371936968,98.24444444
f6069,2,0.125,4.875,0,0.03731343283582089,0.05970149253731343,0.06716417910447761,0.07649253731343283,0.11007462686567164,0.11007462686567164,0.18470149253731344,0.18470149253731344,0.2966417910447761,0.3376865671641791,0.3376865671641791,0.3376865671641791,0.3376865671641791,0.3656716417910448,0.3656716417910448,0.3656716417910448,0.3656716417910448,0.40111940298507465,0.40111940298507465,0.44029850746268656,0.44029850746268656,0.44029850746268656,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,0.48507462686567165,67
f6069,3,0.230769231,3.384615385,0,0.012517385257301807,0.02086230876216968,0.02086230876216968,0.04172461752433936,0.0584144645340751,0.06328233657858136,0.09666203059805285,0.10292072322670376,0.10987482614742698,0.10987482614742698,0.10987482614742698,0.10987482614742698,0.12934631432545202,0.12934631432545202,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,0.1404728789986092,110.6153846
f6069,4,0.109375,4.34375,0.004524886877828055,0.027149321266968326,0.05345022624434389,0.07720588235294118,0.12245475113122171,0.188631221719457,0.19259049773755657,0.21747737556561086,0.21747737556561086,0.2768665158371041,0.292420814479638,0.2992081447963801,0.3470022624434389,0.37471719457013575,0.37895927601809953,0.3834841628959276,0.3834841628959276,0.3834841628959276,0.4157239819004525,0.4157239819004525,0.4157239819004525,0.4281674208144796,0.4281674208144796,0.4417420814479638,0.4417420814479638,0.45644796380090497,0.46408371040723984,0.46408371040723984,0.46408371040723984,0.4725678733031674,0.4725678733031674,0.4906674208144796,0.4906674208144796,0.4906674208144796,0.5104638009049773,55.25
f6069,5,0.267045455,5.767045455,0.0024230853954034805,0.029003597914678023,0.062265951978853075,0.06960863499522725,0.10962625743446655,0.13826272119832586,0.1428886114986416,0.17108451428151847,0.1757104045818342,0.2285777222997283,0.2633086129671782,0.2712387106248623,0.3094206623100081,0.3340920772450253,0.33739628460239374,0.3785153094940891,0.37976356560687274,0.3982671268081357,0.41919377340480213,0.42359938321462665,0.4282252735149424,0.44599456641456786,0.4510610176958661,0.4739701887069535,0.4758058594610471,0.4891695425508481,0.5010646890373742,0.5010646890373742,0.5074528232616198,0.5206696526910933,0.5229458844261693,0.5276452015566488,0.5276452015566488,0.5351347382333504,0.5377046772890814,77.38068182
f6069,6,0.254032258,5.818548387,0.0030069970508298156,0.033423928757300644,0.0679465679754814,0.08575724281501186,0.12768172092754293,0.17764413346440758,0.186144682819638,0.22731741166946162,0.2335627132365697,0.2775111316717747,0.30168276181113746,0.3058462961892095,0.34117851153645984,0.36870409992482506,0.3713063089111201,0.3990632047649338,0.4029954316775574,0.4186086855953276,0.44387902619557046,0.44387902619557046,0.4475221187763835,0.47296593997571273,0.47296593997571273,0.4910079222806916,0.4924535939397444,0.5059850806684786,0.5122303822355867,0.515468686751865,0.5238535823743712,0.532527612328688,0.532527612328688,0.5399294512230383,0.5418377378129879,0.5457699647256116,0.5558896663389811,69.72983871
f6069,7,0.073170732,3.609756098,0.011075949367088608,0.034282700421940926,0.05485232067510549,0.07172995780590717,0.09546413502109705,0.13976793248945146,0.16191983122362869,0.1998945147679325,0.20464135021097046,0.2468354430379747,0.25263713080168776,0.26529535864978904,0.29957805907172996,0.33649789029535865,0.33649789029535865,0.3449367088607595,0.3449367088607595,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.36550632911392406,0.3771097046413502,0.3771097046413502,0.40242616033755274,0.40242616033755274,0.4298523206751055,0.4298523206751055,0.4298523206751055,0.4757383966244726,0.4757383966244726,0.4757383966244726,0.49261603375527424,0.49261603375527424,0.49261603375527424,0.5295358649789029,46.24390244
f6069,8,0.181818182,5.566433566,0.005727644652250146,0.04547048509643483,0.07913500876680304,0.09316189362945645,0.1364114552893045,0.1918176504967855,0.1983635300993571,0.23950905902980713,0.24266510812390416,0.29526592635885446,0.3184102863822326,0.32682641729982465,0.37089421390999416,0.39380479251899475,0.3973115137346581,0.42536528345996494,0.4293395675043834,0.45037989479836354,0.47258912916423146,0.47258912916423146,0.48977206312098187,0.5052016364699007,0.5052016364699007,0.5276446522501461,0.5276446522501461,0.5398012857977791,0.5398012857977791,0.5430742255990648,0.5701928696668614,0.5772063120981882,0.5772063120981882,0.588427819988311,0.588427819988311,0.5924021040327294,0.5964932787843367,59.82517483
f70,1,0.166666667,5.106666667,0.003024614100959533,0.0286816854401335,0.05089695452649145,0.060075093867334166,0.09345014601585315,0.12911973299958282,0.1356904463913225,0.18324989570296205,0.18982060909470172,0.2284105131414268,0.26971214017521905,0.27972465581977474,0.3393825615352524,0.3642052565707134,0.36733416770963706,0.43241551939924905,0.43418856904463915,0.4736128493950772,0.4934292866082603,0.50177304964539,0.5105340008343763,0.5357738840216938,0.545369211514393,0.5879224030037546,0.5879224030037546,0.5987692949520234,0.6044013350020859,0.6044013350020859,0.6134751773049646,0.6197329995828118,0.6197329995828118,0.6664580725907384,0.6698998748435544,0.6769920734251147,0.6879432624113475,63.92
f70,2,0.125,3,0.011904761904761904,0.023809523809523808,0.041666666666666664,0.041666666666666664,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.10119047619047619,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.16071428571428573,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,0.21031746031746032,63
f70,3,0,2.692307692,0.0055147058823529415,0.027573529411764705,0.09375,0.10110294117647059,0.14705882352941177,0.14705882352941177,0.15992647058823528,0.18933823529411764,0.18933823529411764,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2261029411764706,0.2849264705882353,0.2849264705882353,0.2849264705882353,0.2849264705882353,41.84615385
f70,4,0.04,3.16,0.002520478890989288,0.055450535601764335,0.10081915563957151,0.11846250787649654,0.17832388153749212,0.2350346565847511,0.2350346565847511,0.28040327662255826,0.29174543163201005,0.32325141776937616,0.3440453686200378,0.3440453686200378,0.40138626339004413,0.4102079395085066,0.4102079395085066,0.44045368620037806,0.45116572148708256,0.46250787649653435,0.5103969754253308,0.5103969754253308,0.5103969754253308,0.5103969754253308,0.5103969754253308,0.5406427221172023,0.5406427221172023,0.5570258349086327,0.5740390674228103,0.5740390674228103,0.5740390674228103,0.5740390674228103,0.5740390674228103,0.5942028985507246,0.5942028985507246,0.5942028985507246,0.5942028985507246,31.74
f70,5,0.084415584,4.818181818,0.005983450031826862,0.04213876511775939,0.08491406747294716,0.10681094844048376,0.1532781667727562,0.19452577975811586,0.19898154042011457,0.24684914067472946,0.24914067472947168,0.2784213876511776,0.3078294080203692,0.3124124761298536,0.3554423933800127,0.3982176957352005,0.40203691915977086,0.4346276257161044,0.4346276257161044,0.4598345003182686,0.4767663908338638,0.4767663908338638,0.48746021642266074,0.4930617441120306,0.4959898154042012,0.538765117759389,0.538765117759389,0.5586250795671547,0.562062380649268,0.565626989178867,0.565626989178867,0.6038192234245703,0.6038192234245703,0.6323360916613622,0.6323360916613622,0.6409929980903882,0.645448758752387,51.00649351
f70,6,0.133064516,4.939516129,0.005078416728902166,0.045108289768483946,0.08633308439133681,0.10306198655713218,0.15048543689320387,0.19395070948469006,0.20388349514563106,0.24869305451829724,0.2520537714712472,0.2766990291262136,0.307916355489171,0.3123973114264376,0.3434652725914862,0.3737864077669903,0.3771471247199403,0.4129947722180732,0.4155339805825243,0.4316654219566841,0.4657206870799104,0.470201643017177,0.4780433159073936,0.4895444361463779,0.4895444361463779,0.49850634802091115,0.5003734129947722,0.5197908887229276,0.5318894697535475,0.5318894697535475,0.5340552651232263,0.5385362210604929,0.5385362210604929,0.5528752800597461,0.5528752800597461,0.5554144884241972,0.5632561613144137,53.99193548
f70,7,0.019607843,2.980392157,0.0125,0.0546875,0.125,0.15,0.2203125,0.2625,0.2734375,0.3234375,0.33046875,0.43203125,0.475,0.475,0.4953125,0.50625,0.50625,0.54375,0.54375,0.54375,0.54375,0.54375,0.54375,0.578125,0.578125,0.578125,0.578125,0.578125,0.578125,0.578125,0.60078125,0.60078125,0.625,0.625,0.625,0.625,0.625,25.09803922
f70,8,0.05511811,4.228346457,0.009988474836726853,0.0457164809834806,0.09469842489435266,0.11083365347675758,0.1473300038417211,0.21763349980791394,0.22435651171724932,0.25662696888205916,0.263542066845947,0.3096427199385325,0.33922397233960816,0.34613907030349594,0.3761044948136765,0.4056857472147522,0.4085670380330388,0.47925470610833654,0.48905109489051096,0.5201690357280061,0.5530157510564733,0.5568574721475221,0.5649250864387245,0.5733768728390319,0.5733768728390319,0.5964271993853246,0.5964271993853246,0.6213983864771417,0.6265847099500577,0.6265847099500577,0.6432961966961198,0.6432961966961198,0.6432961966961198,0.6740299654245102,0.6740299654245102,0.6740299654245102,0.6941990011525163,40.99212598
funder16,1,0.604651163,4.937984496,0.003787878787878788,0.022950089126559714,0.04333778966131907,0.060271836007130125,0.09536541889483066,0.11475044563279857,0.1178698752228164,0.1553030303030303,0.1553030303030303,0.19429590017825313,0.22493315508021391,0.23295454545454544,0.26047237076648844,0.28854723707664887,0.29188948306595364,0.35071301247771836,0.35071301247771836,0.3888146167557932,0.4269162210338681,0.42914438502673796,0.4338235294117647,0.47794117647058826,0.47794117647058826,0.5046791443850267,0.5074643493761141,0.5219474153297683,0.5490196078431373,0.5490196078431373,0.5522504456327986,0.5656194295900179,0.5656194295900179,0.579879679144385,0.579879679144385,0.598819073083779,0.6027183600713012,69.58139535
funder16,2,0.416666667,3.041666667,0.007125890736342043,0.026128266033254157,0.06175771971496437,0.07759303246239113,0.09738717339667459,0.1163895486935867,0.1163895486935867,0.1227236737925574,0.1227236737925574,0.13855898653998416,0.13855898653998416,0.13855898653998416,0.14885193982581155,0.171021377672209,0.171021377672209,0.171021377672209,0.171021377672209,0.171021377672209,0.171021377672209,0.171021377672209,0.171021377672209,0.2058590657165479,0.2058590657165479,0.2058590657165479,0.2058590657165479,0.2058590657165479,0.22723673792557403,0.22723673792557403,0.22723673792557403,0.22723673792557403,0.22723673792557403,0.4552652414885194,0.4552652414885194,0.4552652414885194,0.4552652414885194,52.625
funder16,3,0.368421053,2.763157895,0.005488474204171241,0.0845225027442371,0.18331503841931943,0.24039517014270034,0.2678375411635565,0.2810098792535675,0.2810098792535675,0.2810098792535675,0.2810098792535675,0.29198682766191,0.3040614709110867,0.33040614709110866,0.33040614709110866,0.33040614709110866,0.3468715697036224,0.3468715697036224,0.36553238199780463,0.36553238199780463,0.38638858397365533,0.38638858397365533,0.38638858397365533,0.38638858397365533,0.38638858397365533,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,0.4127332601536773,23.97368421
funder16,4,0.413793103,3.810344828,0.020290394638868205,0.08991064780342517,0.1368205510052122,0.16288160833953835,0.22803425167535368,0.26042442293373047,0.26433358153387937,0.35815338793745344,0.3598287416232316,0.3896128071481757,0.39370811615785556,0.4048771407297096,0.4218168279970216,0.4374534623976173,0.4402457185405808,0.4610945644080417,0.4610945644080417,0.46444527177959793,0.467982129560685,0.467982129560685,0.467982129560685,0.4802680565897245,0.4802680565897245,0.4892032762472077,0.4892032762472077,0.49404318689501114,0.49404318689501114,0.49404318689501114,0.5102382725241995,0.5102382725241995,0.5102382725241995,0.5161950856291884,0.5161950856291884,0.5161950856291884,0.5161950856291884,30.87356322
funder16,5,0.529680365,4.780821918,0.01106913818852675,0.0544671879117983,0.08503909338487217,0.0987437406659053,0.1378371255380831,0.1821136782921901,0.19564262496705614,0.23429675832381622,0.23825002196257578,0.29183870684353863,0.31213212685583763,0.31634894140384784,0.3391900202055697,0.3391900202055697,0.34050777475182287,0.35737503294386364,0.35737503294386364,0.3747693929544057,0.39146095054027935,0.39146095054027935,0.41359922691733286,0.4232627602565229,0.4333655451111306,0.4586664323991918,0.4586664323991918,0.4678028639198805,0.47017482210313627,0.47017482210313627,0.4727224808925591,0.4806290081700782,0.486075726961258,0.5085654045506457,0.5085654045506457,0.5115523148554862,0.5146270754634104,51.97716895
funder16,6,0.632411067,4.920948617,0.008125,0.07205357142857143,0.11705357142857142,0.13955357142857142,0.19669642857142858,0.24169642857142856,0.24669642857142857,0.28169642857142857,0.28651785714285716,0.33026785714285717,0.345,0.3535714285714286,0.37910714285714286,0.3941071428571429,0.3941071428571429,0.4426785714285714,0.44723214285714286,0.45848214285714284,0.47544642857142855,0.4861607142857143,0.5067857142857143,0.5342857142857143,0.5342857142857143,0.5471428571428572,0.5471428571428572,0.5494642857142857,0.551875,0.551875,0.5570535714285715,0.5597321428571429,0.5597321428571429,0.596875,0.596875,0.5999107142857143,0.6124107142857143,44.2687747
funder16,7,0.419354839,4.14516129,0.007699711260827719,0.06223933269169073,0.08437600256657042,0.095925569457812,0.12640359319858838,0.18992621110041707,0.18992621110041707,0.21559191530317612,0.2300288739172281,0.23644529996791788,0.23644529996791788,0.23644529996791788,0.2489573307667629,0.25344882900224575,0.25344882900224575,0.26371511068334935,0.26371511068334935,0.26371511068334935,0.26371511068334935,0.26371511068334935,0.3108758421559192,0.3179339108116779,0.3179339108116779,0.34873275585498875,0.34873275585498875,0.37375681745267886,0.3997433429579724,0.3997433429579724,0.3997433429579724,0.3997433429579724,0.4196342637151107,0.4299005453962143,0.44048764837985244,0.44048764837985244,0.44048764837985244,50.27419355
