LSOA11CD,NOCAR_pr
E01001043,0.53653771
E01001044,0.233510638
E01001045,0.507683215
E01001046,0.342090234
E01001047,0.415015015
E01001048,0.568181818
E01001049,0.08183776
E01001050,0.440550688
E01001051,0.358941252
E01001052,0.345542502
E01001053,0.255952381
E01001054,0.337426901
E01001055,0.277115987
E01001056,0.394381415
E01001057,0.516538037
E01001058,0.08974359
E01001059,0.142550143
E01001060,0.120177103
E01001061,0.151337247
E01001062,0.067929458
E01001063,0.097465887
E01001064,0.048469388
E01001065,0.159670165
E01001066,0.26734843
E01001067,0.052728387
E01001068,0.126299376
E01001069,0.049770291
E01001070,0.113408151
E01001071,0.107879429
E01001072,0.025352113
E01001073,0.158227848
E01001074,0.214360042
E01001075,0.159227182
E01001076,0.274595268
E01001077,0.125358166
E01001078,0.315527066
E01001079,0.295062463
E01001080,0.41012971
E01001081,0.267565649
E01001082,0.264290104
E01001083,0.10006215
E01001084,0.150501672
E01001085,0.330012453
E01001086,0.183381089
E01001087,0.340730467
E01001088,0.223522528
E01001089,0.397673189
E01001090,0.377787495
E01001091,0.15959468
E01001092,0.111897106
E01001093,0.188147296
E01001094,0.030163934
E01001095,0.237800687
E01001096,0.054177546
E01001097,0.34607938
E01001098,0.046787709
E01001099,0.186188219
E01001100,0.13451087
E01001101,0.042164441
E01001102,0.094222834
E01001103,0.082142857
E01001104,0.066066066
E01001105,0.103528051
E01001106,0.080536913
E01001107,0.071878941
E01001108,0.042080655
E01001109,0.455297158
E01001110,0.473476298
E01001111,0.368453865
E01001112,0.411104548
E01001113,0.414660832
E01001114,0.460714286
E01001115,0.422039859
E01001116,0.328182487
E01001117,0.445574388
E01001118,0.422422954
E01001119,0.053061224
E01001120,0.082343626
E01001121,0.048475371
E01001122,0.068641618
E01001123,0.074636724
E01001124,0.043534763
E01001125,0.106060606
E01001126,0.102710414
E01001127,0.060360921
E01001128,0.337057728
E01001129,0.06185567
E01001130,0.449324324
E01001131,0.119641715
E01001132,0.081284153
E01001133,0.170199101
E01001134,0.119975263
E01001135,0.098420413
E01001136,0.475929978
E01001137,0.326049454
E01001138,0.326169406
E01001139,0.287141074
E01001140,0.343293071
E01001141,0.341894061
E01001142,0.237221494
E01001143,0.365275631
E01001144,0.438965725
E01001145,0.539739027
E01001146,0.275541796
E01001147,0.359037631
E01001148,0.26728972
E01001149,0.303435115
E01001150,0.232445521
E01001151,0.387507967
E01001152,0.433212996
E01001153,0.307359307
E01001154,0.412811388
E01001155,0.514770585
E01001156,0.324786325
E01001157,0.186210961
E01001158,0.340792839
E01001159,0.217656857
E01001160,0.120148857
E01001161,0.301243916
E01001162,0.344522968
E01001163,0.210417741
E01001164,0.428419372
E01001165,0.289251208
E01001166,0.487872106
E01001167,0.182398541
E01001168,0.260218768
E01001169,0.282738095
E01001170,0.417266187
E01001171,0.358490566
E01001172,0.276940904
E01001173,0.224185316
E01001174,0.232098765
E01001175,0.343922652
E01001176,0.32385466
E01001177,0.25464684
E01001178,0.497390007
E01001179,0.274445893
E01001180,0.341393207
E01001181,0.473047305
E01001182,0.238396624
E01001183,0.303435115
E01001184,0.186063751
E01001185,0.319070905
E01001186,0.36259323
E01001187,0.306701031
E01001188,0.339383938
E01001189,0.241123039
E01001190,0.289407314
E01001191,0.48185941
E01001192,0.425790754
E01001193,0.259546209
E01001194,0.287531807
E01001195,0.199672668
E01001196,0.42327736
E01001197,0.285882353
E01001198,0.282821229
E01001199,0.414403778
E01001200,0.283819629
E01001201,0.273259597
E01001202,0.5
E01001203,0.51039261
E01001204,0.157629256
E01001205,0.279025016
E01001206,0.405484247
E01001207,0.292356688
E01001208,0.103953148
E01001209,0.131425234
E01001210,0.398208955
E01001211,0.214675561
E01001212,0.183181226
E01001213,0.251381215
E01001214,0.191538022
E01001215,0.337677054
E01001216,0.266753416
E01001217,0.157244964
E01001218,0.309748428
E01001219,0.369727047
E01001220,0.387011266
E01001221,0.471420795
E01001222,0.420831583
E01001223,0.237215909
E01001224,0.113735239
E01001225,0.318284424
E01001226,0.295103957
E01001227,0.189932886
E01001228,0.348214286
E01001229,0.344940867
E01001230,0.245626822
E01001231,0.211146838
E01001232,0.251625488
E01001233,0.284410112
E01001234,0.396117901
E01001235,0.305985205
E01001236,0.371770636
E01001237,0.229674797
E01001238,0.586471409
E01001239,0.358738502
E01001240,0.351702786
E01001241,0.313124584
E01001242,0.25537821
E01001243,0.413892078
E01001244,0.478534856
E01001245,0.472831766
E01001246,0.311029412
E01001247,0.423502304
E01001248,0.232062056
E01001249,0.481433506
E01001250,0.435411471
E01001251,0.250906892
E01001252,0.351393189
E01001253,0.240583232
E01001254,0.229850746
E01001255,0.185901435
E01001257,0.3707235
E01001258,0.244378698
E01001259,0.230610844
E01001260,0.222222222
E01001261,0.360655738
E01001262,0.250985545
E01001263,0.239832536
E01001264,0.212688822
E01001265,0.240543735
E01001266,0.129912664
E01001267,0.295031056
E01001268,0.144009217
E01001269,0.19515885
E01001270,0.147007554
E01001271,0.184794673
E01001272,0.188550093
E01001273,0.159581023
E01001274,0.196319018
E01001275,0.4056806
E01001276,0.223154362
E01001277,0.231561822
E01001278,0.283893986
E01001279,0.075356415
E01001280,0.243103448
E01001281,0.164383562
E01001282,0.285163776
E01001283,0.35799373
E01001284,0.168291098
E01001285,0.237246466
E01001286,0.280764636
E01001287,0.274878219
